Sesion,,,
1,Introducción,Presentación,
2,Introducción,"Encuestas: tipos, características e implementación
Tarea: selección de encuesta de referencia","- Font & Pasadas, cap.1: ¿Qué es una encuesta y qué no es una encuesta?
- Font & Pasadas, cap.2: ¿Para qué sirve una encuesta?
- Fowler Cap 1: Introduction"
3,Diseño,"Diseño de preguntas 1: medición, confiabilidad y validez",- Fowler Cap 2: Types of error in surveys
4,Diseño,"Diseño de preguntas 2: diseño de instrumentos de medición (preguntas, baterías, experimentos)","- Fowler Cap 6: Designing questions to be good measures
- Fowler Cap 7: Evaluating survey questions and instruments"
,RECESO,,
5,Diseño,Diseño de cuestionarios,
6,Diseño,Muestreo / Entrega 1: Diseño de instrumento de medición,
7,Diseño,Presentación informe 1,
8,Diseño, ,
9,Análisis,"Limpieza, descriptivos y flujo de trabajo reproducible",
10,Análisis,Visualización: tablas y gráficos,
11,Análisis,Indices y análisis factorial,
12,Análisis,Reporte y comunicación de resultados,
13,Análisis,Foro invitados externos,
14,Análisis,Entrega 2: Reporte de resultados,
15,Análisís,Presentación final,
